date,index,nav,outstanding
"Oct 11, 2018",5399.54,274.27,567800000.00
"Oct 10, 2018",5512.94,280.02,567900000.00
"Oct 09, 2018",5700.23,289.54,568150000.00
"Oct 08, 2018",5706.66,289.87,568200000.00
"Oct 05, 2018",5708.90,289.98,567950000.00
"Oct 04, 2018",5740.56,291.59,566650000.00
"Oct 03, 2018",5786.48,293.92,565700000.00
"Oct 02, 2018",5782.37,293.71,564400000.00
"Oct 01, 2018",5784.45,293.82,563800000.00
"Sep 28, 2018",5763.42,292.75,564050000.00
"Sep 27, 2018",5763.22,292.74,564050000.00
"Sep 26, 2018",5746.27,291.88,563450000.00
"Sep 25, 2018",5765.25,294.13,563300000.00
"Sep 24, 2018",5772.36,294.49,564900000.00
"Sep 21, 2018",5792.72,295.53,565500000.00
"Sep 20, 2018",5794.72,295.63,564700000.00
"Sep 19, 2018",5749.39,293.32,562750000.00
"Sep 18, 2018",5742.18,292.95,562750000.00
"Sep 17, 2018",5711.29,291.38,562700000.00
"Sep 14, 2018",5743.19,293.01,562700000.00
"Sep 13, 2018",5740.75,292.88,562650000.00
"Sep 12, 2018",5709.08,291.27,562100000.00
"Sep 11, 2018",5706.99,291.16,561800000.00
"Sep 10, 2018",5685.34,290.06,561800000.00
"Sep 07, 2018",5674.58,289.51,559650000.00
"Sep 06, 2018",5686.70,290.13,560500000.00
"Sep 05, 2018",5705.86,291.10,561800000.00
"Sep 04, 2018",5721.86,291.92,561800000.00
"Aug 31, 2018",5730.80,292.38,562450000.00
"Aug 30, 2018",5729.45,292.31,550400000.00
"Aug 29, 2018",5754.00,293.56,550600000.00
"Aug 28, 2018",5720.89,291.87,550650000.00
"Aug 27, 2018",5719.30,291.79,550400000.00
"Aug 24, 2018",5675.12,289.54,549900000.00
"Aug 23, 2018",5640.10,287.75,548500000.00
"Aug 22, 2018",5649.31,288.22,548500000.00
"Aug 21, 2018",5651.39,288.33,548250000.00
"Aug 20, 2018",5639.53,287.73,547950000.00
"Aug 17, 2018",5625.66,287.02,547150000.00
"Aug 16, 2018",5606.56,286.05,546400000.00
"Aug 15, 2018",5560.85,283.71,545700000.00
"Aug 14, 2018",5602.41,285.83,544950000.00
"Aug 13, 2018",5566.36,284.00,544500000.00
"Aug 10, 2018",5588.66,285.13,544250000.00
"Aug 09, 2018",5627.00,287.09,542250000.00
"Aug 08, 2018",5633.67,287.43,540450000.00
"Aug 07, 2018",5634.98,287.50,539450000.00
"Aug 06, 2018",5619.05,286.68,539200000.00
"Aug 03, 2018",5598.71,285.65,539400000.00
"Aug 02, 2018",5572.08,284.29,539000000.00
"Aug 01, 2018",5544.19,282.87,539050000.00
"Jul 31, 2018",5549.96,283.16,539050000.00
